Time,South(Wh/m2),West(Wh/m2),East(Wh/m2),North(Wh/m2)
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,55.50416667,41.0875,79.58,40.43875
8,93.22777778,78.715,160.89,72.80416667
9,120.6675,123.2625,269.88,96.339375
10,147.6266667,171.27,311.4,113.0266667
11,164.8305556,203.275,278.53,136.2375
12,173,243.93,264.69,137.535
13,151.375,272.475,201.1125,131.1916667
14,143.0133333,359.84,179.92,116.4866667
15,121.965,285.45,137.535,97.3125
16,90.34444444,178.19,84.77,73.525
17,50.74666667,89.095,39.3575,38.06
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,41.45574074,37.8875,73.61,35.39173611
8,77.77962963,70.00166667,138.56,64.34861111
9,110.415,117.9925,233.82,75.504375
10,129.5792593,132.7866667,262.6866667,87.56222222
11,150.1467593,191.2416667,270.2641667,102.0857639
12,147.22,229.49,212.17,109.3325
13,131.9046296,232.3766667,171.3958333,113.6625
14,129.5792593,314.6466667,142.89,92.37333333
15,114.745,231.655,97.425,83.623125
16,73.77037037,132.7866667,77.94,54.72638889
17,41.89675926,79.38333333,35.36166667,30.43027778
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,10.74027778,8.325,17.575,7.716041667
8,20.76111111,16.835,34.04,15.87916667
9,26.64,29.415,55.5,22.269375
10,30.58666667,37,78.44,22.69333333
11,39.20972222,43.0125,68.635,29.67708333
12,39.22,53.28,51.06,27.75
13,38.85,62.16,49.95,25.090625
14,35.52,67.34,35.52,26.64
15,29.415,59.94,29.6925,21.853125
16,21.37777778,34.78,18.315,14.3375
17,11.75777778,19.055,8.7875,7.716041667
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,54.95722222,47.16916667,95.22,44.04659722
8,98.94259259,82.87666667,167.5166667,69.06388889
9,133.5725,138.8625,240.695,103.155
10,163.0103704,171.0433333,352.6666667,109.3266667
11,180.0069444,200.5791667,339.4416667,136.2909722
12,181.6233333,251.275,285.66,144.1525
13,159.4347222,327.0983333,235.8458333,132.4336806
14,163.0103704,349.14,190.44,128.1355556
15,129.605,280.37,130.9275,92.244375
16,95.02407407,163.99,95.22,80.08472222
17,49.56925926,89.93,43.20166667,37.17694444
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,52.34166667,45.68,97.07,47.1075
8,113.1425926,95.16666667,209.3666667,78.5125
9,152.7425,139.895,299.775,117.76875
10,162.4177778,177.01,388.28,128.1577778
11,179.4949074,214.125,326.4216667,137.396875
12,186.5266667,305.485,291.21,149.8875
13,199.85,349.7375,237.9166667,145.7239583
14,174.2607407,392.0866667,196.0433333,124.3511111
15,147.0325,294.065,155.5975,113.48625
16,113.1425926,199.85,100.8766667,80.89166667
17,56.41268519,90.40833333,49.48666667,46.67131944
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,49.53972222,47.50583333,86.295,43.1475
8,101.6944444,88.91,165.6166667,73.36527778
9,121.5975,121.5975,271.96,95.120625
10,162.7111111,165.6166667,362.6133333,120.8711111
11,162.7111111,200.4833333,298.9816667,127.1180556
12,160.3866667,245.81,237.965,133.365
13,183.05,286.7783333,198.3041667,132.2027778
14,164.2607407,380.0466667,177.82,112.7355556
15,139.9025,240.58,135.98,90.2175
16,94.91481481,174.3333333,85.42333333,67.55416667
17,50.60509259,92.39666667,43.1475,40.75041667
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,45.74268519,37.81166667,72.53666667,38.1975
8,84.02592593,79.48166667,160.5066667,67.52083333
9,120.38,121.5375,219.925,95.49375
10,127.5822222,166.68,330.2733333,110.0911111
11,136.5421296,177.4833333,286.2883333,111.409375
12,149.7033333,254.65,210.665,116.9075
13,148.5458333,251.1775,189.0583333,117.0361111
14,148.16,277.8,154.3333333,94.65777778
15,122.695,212.98,105.3325,85.07625
16,90.02777778,148.16,71.765,68.16388889
17,49.98685185,82.56833333,37.04,34.66069444
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,4.660740741,3.85,7.113333333,3.663611111
8,8.392592593,7.186666667,14.52,6.722222222
9,11.11,10.23,20.46,8.58
10,13.16740741,15.84,27.57333333,9.582222222
11,14.97222222,16.68333333,23.61333333,10.80138889
12,13.93333333,20.24,20.9,11.33
13,14.40185185,23.61333333,16.68333333,11.44305556
14,13.42814815,27.28,15.69333333,8.8
15,10.67,23.54,11.44,7.92
16,8.8,14.96,7.846666667,6.6
17,4.436666667,7.626666667,3.703333333,3.663611111
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,81.40916667,61.005,123.255,60.48625
8,134.1833333,130.725,249,100.6375
9,184.8825,171.81,362.295,137.26125
10,199.2,231.57,473.1,177.62
11,246.925,298.8,479.325,172.484375
12,249,392.175,388.44,184.8825
13,256.6083333,435.75,323.7,181.5625
14,241.2533333,517.92,229.08,154.38
15,203.5575,354.825,169.9425,133.059375
16,138.3333333,271.41,122.01,107.9
17,81.40916667,114.54,63.495,62.76875
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,90.46074074,69.74333333,132.37,61.32194444
8,159.7296296,145.18,310.2866667,119.7972222
9,217.77,198.555,418.46,153.72
10,263.1585185,270.4333333,535.1733333,184.0844444
11,273.9916667,345.1583333,508.13,195.1152778
12,307.44,444.08,431.27,194.285
13,268.4564815,518.0933333,366.5083333,220.0236111
14,273.28,546.56,284.6666667,184.0844444
15,198.555,397.11,202.825,147.315
16,159.7296296,296.0533333,143.7566667,123.3555556
17,82.63240741,133.7933333,71.87833333,70.455
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,5.092592593,3.916666667,7.833333333,3.78125
8,9.351851852,7.916666667,15.83333333,7.013888889
9,12.375,12.25,23,9.09375
10,15.25925926,16.83333333,33.66666667,11.88888889
11,16.85185185,21.66666667,26.54166667,11.66666667
12,17.33333333,23.25,27,11.625
13,17.5,27.41666667,22.29166667,13.00347222
14,14.37037037,36,15.5,11.88888889
15,12.25,24.75,11.5,9.5625
16,8.796296296,17.16666667,8.833333333,7.083333333
17,4.583333333,9.083333333,4.5,3.934027778
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,84.13574074,66.83333333,129.6566667,63.71444444
