Time,South(Wh/m2),West(Wh/m2),East(Wh/m2),North(Wh/m2)
6/1/2017 0:00,0,0,0,0
6/1/2017 1:00,0,0,0,0
6/1/2017 2:00,0,0,0,0
6/1/2017 3:00,0,0,0,0
6/1/2017 4:00,0,0,0,0
6/1/2017 5:00,0,0,0,0
6/1/2017 6:00,0,0,0,0
6/1/2017 7:00,49.95375,32.87,63.664,32.351
6/1/2017 8:00,83.905,62.972,128.712,58.24333333
6/1/2017 9:00,108.60075,98.61,215.904,77.0715
6/1/2017 10:00,132.864,137.016,249.12,90.42133333
6/1/2017 11:00,148.3475,162.62,222.824,108.99
6/1/2017 12:00,155.7,195.144,211.752,110.028
6/1/2017 13:00,136.2375,217.98,160.89,104.9533333
6/1/2017 14:00,128.712,287.872,143.936,93.18933333
6/1/2017 15:00,109.7685,228.36,110.028,77.85
6/1/2017 16:00,81.31,142.552,67.816,58.82
6/1/2017 17:00,45.672,71.276,31.486,30.448
6/1/2017 18:00,0,0,0,0
6/1/2017 19:00,0,0,0,0
6/1/2017 20:00,0,0,0,0
6/1/2017 21:00,0,0,0,0
6/1/2017 22:00,0,0,0,0
6/1/2017 23:00,0,0,0,0
6/2/2017 0:00,0,0,0,0
6/2/2017 1:00,0,0,0,0
6/2/2017 2:00,0,0,0,0
6/2/2017 3:00,0,0,0,0
6/2/2017 4:00,0,0,0,0
6/2/2017 5:00,0,0,0,0
6/2/2017 6:00,0,0,0,0
6/2/2017 7:00,37.31016667,30.31,58.888,28.31338889
6/2/2017 8:00,70.00166667,56.00133333,110.848,51.47888889
6/2/2017 9:00,99.3735,94.394,187.056,60.4035
6/2/2017 10:00,116.6213333,106.2293333,210.1493333,70.04977778
6/2/2017 11:00,135.1320833,152.9933333,216.2113333,81.66861111
6/2/2017 12:00,132.498,183.592,169.736,87.466
6/2/2017 13:00,118.7141667,185.9013333,137.1166667,90.93
6/2/2017 14:00,116.6213333,251.7173333,114.312,73.89866667
6/2/2017 15:00,103.2705,185.324,77.94,66.8985
6/2/2017 16:00,66.39333333,106.2293333,62.352,43.78111111
6/2/2017 17:00,37.70708333,63.50666667,28.28933333,24.34422222
6/2/2017 18:00,0,0,0,0
6/2/2017 19:00,0,0,0,0
6/2/2017 20:00,0,0,0,0
6/2/2017 21:00,0,0,0,0
6/2/2017 22:00,0,0,0,0
6/2/2017 23:00,0,0,0,0
6/3/2017 0:00,0,0,0,0
6/3/2017 1:00,0,0,0,0
6/3/2017 2:00,0,0,0,0
6/3/2017 3:00,0,0,0,0
6/3/2017 4:00,0,0,0,0
6/3/2017 5:00,0,0,0,0
6/3/2017 6:00,0,0,0,0
6/3/2017 7:00,9.66625,6.66,14.06,6.172833333
6/3/2017 8:00,18.685,13.468,27.232,12.70333333
6/3/2017 9:00,23.976,23.532,44.4,17.8155
6/3/2017 10:00,27.528,29.6,62.752,18.15466667
6/3/2017 11:00,35.28875,34.41,54.908,23.74166667
6/3/2017 12:00,35.298,42.624,40.848,22.2
6/3/2017 13:00,34.965,49.728,39.96,20.0725
6/3/2017 14:00,31.968,53.872,28.416,21.312
6/3/2017 15:00,26.4735,47.952,23.754,17.4825
6/3/2017 16:00,19.24,27.824,14.652,11.47
6/3/2017 17:00,10.582,15.244,7.03,6.172833333
6/3/2017 18:00,0,0,0,0
6/3/2017 19:00,0,0,0,0
6/3/2017 20:00,0,0,0,0
6/3/2017 21:00,0,0,0,0
6/3/2017 22:00,0,0,0,0
6/3/2017 23:00,0,0,0,0
6/4/2017 0:00,0,0,0,0
6/4/2017 1:00,0,0,0,0
6/4/2017 2:00,0,0,0,0
6/4/2017 3:00,0,0,0,0
6/4/2017 4:00,0,0,0,0
6/4/2017 5:00,0,0,0,0
6/4/2017 6:00,0,0,0,0
6/4/2017 7:00,49.4615,37.73533333,76.176,35.23727778
6/4/2017 8:00,89.04833333,66.30133333,134.0133333,55.25111111
6/4/2017 9:00,120.21525,111.09,192.556,82.524
6/4/2017 10:00,146.7093333,136.8346667,282.1333333,87.46133333
6/4/2017 11:00,162.00625,160.4633333,271.5533333,109.0327778
6/4/2017 12:00,163.461,201.02,228.528,115.322
6/4/2017 13:00,143.49125,261.6786667,188.6766667,105.9469444
6/4/2017 14:00,146.7093333,279.312,152.352,102.5084444
6/4/2017 15:00,116.6445,224.296,104.742,73.7955
6/4/2017 16:00,85.52166667,131.192,76.176,64.06777778
