Time,South(Wh/m2),West(Wh/m2),East(Wh/m2),North(Wh/m2)
6/1/2017 0:00,0,0,0,0
6/1/2017 1:00,0,0,0,0
6/1/2017 2:00,0,0,0,0
6/1/2017 3:00,0,0,0,0
6/1/2017 4:00,0,0,0,0
6/1/2017 5:00,0,0,0,0
6/1/2017 6:00,0,0,0,0
6/1/2017 7:00,5.045833333,41.0875,79.58,40.43875
6/1/2017 8:00,0,78.715,160.89,72.80416667
6/1/2017 9:00,0,123.2625,269.88,96.339375
6/1/2017 10:00,0,171.27,311.4,113.0266667
6/1/2017 11:00,0,203.275,278.53,136.2375
6/1/2017 12:00,0,243.93,264.69,137.535
6/1/2017 13:00,0,272.475,201.1125,131.1916667
6/1/2017 14:00,0,359.84,179.92,116.4866667
6/1/2017 15:00,0,285.45,137.535,97.3125
6/1/2017 16:00,0,178.19,84.77,73.525
6/1/2017 17:00,0,89.095,39.3575,38.06
6/1/2017 18:00,0,0,0,0
6/1/2017 19:00,0,0,0,0
6/1/2017 20:00,0,0,0,0
6/1/2017 21:00,0,0,0,0
6/1/2017 22:00,0,0,0,0
6/1/2017 23:00,0,0,0,0
6/2/2017 0:00,0,0,0,0
6/2/2017 1:00,0,0,0,0
6/2/2017 2:00,0,0,0,0
6/2/2017 3:00,0,0,0,0
6/2/2017 4:00,0,0,0,0
6/2/2017 5:00,0,0,0,0
6/2/2017 6:00,0,0,0,0
6/2/2017 7:00,3.768703704,37.8875,73.61,35.39173611
6/2/2017 8:00,0,70.00166667,138.56,64.34861111
6/2/2017 9:00,0,117.9925,233.82,75.504375
6/2/2017 10:00,0,132.7866667,262.6866667,87.56222222
6/2/2017 11:00,0,191.2416667,270.2641667,102.0857639
6/2/2017 12:00,0,229.49,212.17,109.3325
6/2/2017 13:00,0,232.3766667,171.3958333,113.6625
6/2/2017 14:00,0,314.6466667,142.89,92.37333333
6/2/2017 15:00,0,231.655,97.425,83.623125
6/2/2017 16:00,0,132.7866667,77.94,54.72638889
6/2/2017 17:00,0,79.38333333,35.36166667,30.43027778
6/2/2017 18:00,0,0,0,0
6/2/2017 19:00,0,0,0,0
6/2/2017 20:00,0,0,0,0
6/2/2017 21:00,0,0,0,0
6/2/2017 22:00,0,0,0,0
6/2/2017 23:00,0,0,0,0
6/3/2017 0:00,0,0,0,0
6/3/2017 1:00,0,0,0,0
6/3/2017 2:00,0,0,0,0
6/3/2017 3:00,0,0,0,0
6/3/2017 4:00,0,0,0,0
6/3/2017 5:00,0,0,0,0
6/3/2017 6:00,0,0,0,0
6/3/2017 7:00,0.976388889,8.325,17.575,7.716041667
6/3/2017 8:00,0,16.835,34.04,15.87916667
6/3/2017 9:00,0,29.415,55.5,22.269375
6/3/2017 10:00,0,37,78.44,22.69333333
6/3/2017 11:00,0,43.0125,68.635,29.67708333
6/3/2017 12:00,0,53.28,51.06,27.75
6/3/2017 13:00,0,62.16,49.95,25.090625
6/3/2017 14:00,0,67.34,35.52,26.64
6/3/2017 15:00,0,59.94,29.6925,21.853125
6/3/2017 16:00,0,34.78,18.315,14.3375
6/3/2017 17:00,0,19.055,8.7875,7.716041667
6/3/2017 18:00,0,0,0,0
6/3/2017 19:00,0,0,0,0
6/3/2017 20:00,0,0,0,0
6/3/2017 21:00,0,0,0,0
6/3/2017 22:00,0,0,0,0
6/3/2017 23:00,0,0,0,0
6/4/2017 0:00,0,0,0,0
6/4/2017 1:00,0,0,0,0
6/4/2017 2:00,0,0,0,0
6/4/2017 3:00,0,0,0,0
6/4/2017 4:00,0,0,0,0
6/4/2017 5:00,0,0,0,0
6/4/2017 6:00,0,0,0,0
6/4/2017 7:00,4.996111111,47.16916667,95.22,44.04659722
6/4/2017 8:00,0,82.87666667,167.5166667,69.06388889
6/4/2017 9:00,0,138.8625,240.695,103.155
6/4/2017 10:00,0,171.0433333,352.6666667,109.3266667
6/4/2017 11:00,0,200.5791667,339.4416667,136.2909722
6/4/2017 12:00,0,251.275,285.66,144.1525
6/4/2017 13:00,0,327.0983333,235.8458333,132.4336806
6/4/2017 14:00,0,349.14,190.44,128.1355556
6/4/2017 15:00,0,280.37,130.9275,92.244375
6/4/2017 16:00,0,163.99,95.22,80.08472222
6/4/2017 17:00,0,89.93,43.20166667,37.17694444
6/4/2017 18:00,0,0,0,0
6/4/2017 19:00,0,0,0,0
6/4/2017 20:00,0,0,0,0
6/4/2017 21:00,0,0,0,0
6/4/2017 22:00,0,0,0,0
