Time,Drybulb C
6/1/2016 0:00,24.4
6/1/2016 1:00,23.9
6/1/2016 2:00,23.3
6/1/2016 3:00,22.8
6/1/2016 4:00,22.2
6/1/2016 5:00,22.2
6/1/2016 6:00,22.2
6/1/2016 7:00,23.3
6/1/2016 8:00,25.6
6/1/2016 9:00,28.3
6/1/2016 10:00,28.9
6/1/2016 11:00,31.7
6/1/2016 12:00,31.7
6/1/2016 13:00,32.8
6/1/2016 14:00,32.8
6/1/2016 15:00,34.4
6/1/2016 16:00,35
6/1/2016 17:00,35
6/1/2016 18:00,34.4
6/1/2016 19:00,32.8
6/1/2016 20:00,31.1
6/1/2016 21:00,29.4
6/1/2016 22:00,27.8
6/1/2016 23:00,26.1
6/2/2016 0:00,25.6
6/2/2016 1:00,24.4
6/2/2016 2:00,23.9
6/2/2016 3:00,24.4
6/2/2016 4:00,24.4
6/2/2016 5:00,24.4
6/2/2016 6:00,23.9
6/2/2016 7:00,25.6
6/2/2016 8:00,26.1
6/2/2016 9:00,29.4
6/2/2016 10:00,29.4
6/2/2016 11:00,31.7
6/2/2016 12:00,32.2
6/2/2016 13:00,33.3
6/2/2016 14:00,34.4
6/2/2016 15:00,32.2
6/2/2016 16:00,27.8
6/2/2016 17:00,29.4
6/2/2016 18:00,27.2
6/2/2016 19:00,25.6
6/2/2016 20:00,23.3
6/2/2016 21:00,20.6
6/2/2016 22:00,22.2
6/2/2016 23:00,22.8
6/3/2016 0:00,22.2
6/3/2016 1:00,21.1
6/3/2016 2:00,20.6
6/3/2016 3:00,20
6/3/2016 4:00,20
6/3/2016 5:00,20
6/3/2016 6:00,20.6
6/3/2016 7:00,24.4
6/3/2016 8:00,26.1
6/3/2016 9:00,28.3
6/3/2016 10:00,30.6
6/3/2016 11:00,31.7
6/3/2016 12:00,33.3
6/3/2016 13:00,33.3
6/3/2016 14:00,32.2
6/3/2016 15:00,31.7
6/3/2016 16:00,31.1
6/3/2016 17:00,32.8
6/3/2016 18:00,32.8
6/3/2016 19:00,31.1
6/3/2016 20:00,29.4
6/3/2016 21:00,25
6/3/2016 22:00,27.8
6/3/2016 23:00,27.2
6/4/2016 0:00,26.7
6/4/2016 1:00,26.1
6/4/2016 2:00,20.6
6/4/2016 3:00,20.6
6/4/2016 4:00,20
6/4/2016 5:00,20
6/4/2016 6:00,20
6/4/2016 7:00,21.1
6/4/2016 8:00,22.2
6/4/2016 9:00,23.9
6/4/2016 10:00,25.6
6/4/2016 11:00,27.2
6/4/2016 12:00,28.9
6/4/2016 13:00,31.1
6/4/2016 14:00,31.7
6/4/2016 15:00,31.7
6/4/2016 16:00,33.3
6/4/2016 17:00,32.8
6/4/2016 18:00,31.7
6/4/2016 19:00,30.6
6/4/2016 20:00,28.3
6/4/2016 21:00,26.7
6/4/2016 22:00,26.1
6/4/2016 23:00,25.6
6/5/2016 0:00,24.4
6/5/2016 1:00,23.9
6/5/2016 2:00,23.3
6/5/2016 3:00,23.3
6/5/2016 4:00,23.9
6/5/2016 5:00,23.9
6/5/2016 6:00,23.9
6/5/2016 7:00,23.9
6/5/2016 8:00,24.4
6/5/2016 9:00,20
6/5/2016 10:00,20
6/5/2016 11:00,20
6/5/2016 12:00,22.2
6/5/2016 13:00,23.3
6/5/2016 14:00,25.6
6/5/2016 15:00,26.7
6/5/2016 16:00,27.8
6/5/2016 17:00,27.8
6/5/2016 18:00,27.8
6/5/2016 19:00,26.7
6/5/2016 20:00,22.8
6/5/2016 21:00,21.1
6/5/2016 22:00,22.2
6/5/2016 23:00,20.6
6/6/2016 0:00,20.6
6/6/2016 1:00,19.4
6/6/2016 2:00,19.4
6/6/2016 3:00,20.6
6/6/2016 4:00,20
6/6/2016 5:00,20.6
6/6/2016 6:00,21.1
6/6/2016 7:00,20.6
6/6/2016 8:00,21.1
6/6/2016 9:00,23.9
6/6/2016 10:00,25.6
6/6/2016 11:00,26.1
6/6/2016 12:00,27.2
6/6/2016 13:00,27.8
6/6/2016 14:00,27.8
6/6/2016 15:00,28.3
6/6/2016 16:00,30
6/6/2016 17:00,29.4
6/6/2016 18:00,27.8
6/6/2016 19:00,26.7
6/6/2016 20:00,22.8
6/6/2016 21:00,20
6/6/2016 22:00,19.4
6/6/2016 23:00,18.9
6/7/2016 0:00,18.3
6/7/2016 1:00,18.9
6/7/2016 2:00,18.3
6/7/2016 3:00,16.7
6/7/2016 4:00,15.6
6/7/2016 5:00,16.1
6/7/2016 6:00,16.1
6/7/2016 7:00,19.4
6/7/2016 8:00,23.3
6/7/2016 9:00,25
6/7/2016 10:00,26.7
6/7/2016 11:00,27.2
6/7/2016 12:00,28.9
6/7/2016 13:00,30
6/7/2016 14:00,30.6
6/7/2016 15:00,30.6
6/7/2016 16:00,31.7
6/7/2016 17:00,31.1
6/7/2016 18:00,31.1
6/7/2016 19:00,29.4
6/7/2016 20:00,26.7
6/7/2016 21:00,25.6
6/7/2016 22:00,21.1
6/7/2016 23:00,20.6
6/8/2016 0:00,19.4
6/8/2016 1:00,18.9
6/8/2016 2:00,18.9
6/8/2016 3:00,20.6
6/8/2016 4:00,20
6/8/2016 5:00,18.3
6/8/2016 6:00,19.4
6/8/2016 7:00,22.8
6/8/2016 8:00,24.4
6/8/2016 9:00,26.1
6/8/2016 10:00,27.2
6/8/2016 11:00,23.3
6/8/2016 12:00,25.6
6/8/2016 13:00,27.2
6/8/2016 14:00,28.9
6/8/2016 15:00,30.6
6/8/2016 16:00,30
6/8/2016 17:00,31.1
6/8/2016 18:00,30.6
