Time,Drybulb C,RH,Total Sky Cover {.1}
6/1/2016 0:00,24.4,91,10
6/1/2016 1:00,23.9,78,3
6/1/2016 2:00,23.3,90,4
6/1/2016 3:00,22.8,97,10
6/1/2016 4:00,22.2,93,10
6/1/2016 5:00,22.2,97,8
6/1/2016 6:00,22.2,100,5
6/1/2016 7:00,23.3,94,8
6/1/2016 8:00,25.6,82,8
6/1/2016 9:00,28.3,70,8
6/1/2016 10:00,28.9,61,6
6/1/2016 11:00,31.7,54,4
6/1/2016 12:00,31.7,48,3
6/1/2016 13:00,32.8,47,3
6/1/2016 14:00,32.8,45,4
6/1/2016 15:00,34.4,41,4
6/1/2016 16:00,35,39,3
6/1/2016 17:00,35,37,3
6/1/2016 18:00,34.4,40,3
6/1/2016 19:00,32.8,42,5
6/1/2016 20:00,31.1,48,8
6/1/2016 21:00,29.4,59,9
6/1/2016 22:00,27.8,67,10
6/1/2016 23:00,26.1,77,2
6/2/2016 0:00,25.6,79,4
6/2/2016 1:00,24.4,88,9
6/2/2016 2:00,23.9,94,4
6/2/2016 3:00,24.4,91,10
6/2/2016 4:00,24.4,91,10
6/2/2016 5:00,24.4,91,3
6/2/2016 6:00,23.9,94,8
6/2/2016 7:00,25.6,87,6
6/2/2016 8:00,26.1,82,7
6/2/2016 9:00,29.4,65,8
6/2/2016 10:00,29.4,63,7
6/2/2016 11:00,31.7,56,8
6/2/2016 12:00,32.2,52,3
6/2/2016 13:00,33.3,49,8
6/2/2016 14:00,34.4,43,8
6/2/2016 15:00,32.2,49,10
6/2/2016 16:00,27.8,63,9
6/2/2016 17:00,29.4,59,9
6/2/2016 18:00,27.2,69,8
6/2/2016 19:00,25.6,69,9
6/2/2016 20:00,23.3,74,0
6/2/2016 21:00,20.6,87,0
6/2/2016 22:00,22.2,82,3
6/2/2016 23:00,22.8,79,3
6/3/2016 0:00,22.2,84,0
6/3/2016 1:00,21.1,90,0
6/3/2016 2:00,20.6,90,0
6/3/2016 3:00,20,93,0
6/3/2016 4:00,20,93,0
6/3/2016 5:00,20,96,0
6/3/2016 6:00,20.6,96,8
6/3/2016 7:00,24.4,85,4
6/3/2016 8:00,26.1,85,8
6/3/2016 9:00,28.3,77,4
6/3/2016 10:00,30.6,65,4
6/3/2016 11:00,31.7,61,4
6/3/2016 12:00,33.3,56,8
6/3/2016 13:00,33.3,56,8
6/3/2016 14:00,32.2,56,7
6/3/2016 15:00,31.7,59,6
6/3/2016 16:00,31.1,63,9
6/3/2016 17:00,32.8,54,7
6/3/2016 18:00,32.8,54,1
6/3/2016 19:00,31.1,57,9
6/3/2016 20:00,29.4,65,1
6/3/2016 21:00,25,84,10
6/3/2016 22:00,27.8,69,10
6/3/2016 23:00,27.2,79,10
6/4/2016 0:00,26.7,85,10
6/4/2016 1:00,26.1,90,10
6/4/2016 2:00,20.6,96,10
6/4/2016 3:00,20.6,96,10
6/4/2016 4:00,20,96,10
