Time,South(Wh/m2),West(Wh/m2),East(Wh/m2),North(Wh/m2)
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,51.5,51.5,210.7296992,107.2925571
7,73.5,73.5,85.11030087,76.14795752
8,108.5,108.5,496.3065344,152.8207626
9,172.1288695,171,321.5269755,171
10,197.5580907,161.5,372.3085513,161.5
11,173.9764557,166.5,180.6388506,166.5
12,248.3467423,179.0506166,177,177
13,195.1240689,278.4176501,109.5,109.5
14,72.5,72.5,72.5,72.5
15,56.5,56.5,56.5,56.5
16,41,41,41,41
17,25.5,25.5,25.5,25.5
18,10.5,10.5,10.5,10.5
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,37.5,37.5,282.6074017,124.0077992
7,71,71,476.1862801,164.4560745
8,124.5,124.5,173.2527556,130.2100106
9,112.1943735,110.5,529.4309727,110.5
10,159.835973,105.5,432.6268929,105.5
11,213.4240135,168.5,255.142004,168.5
12,227.9913608,146.5316682,144.5,144.5
13,119.9563498,121.4104962,118.5,118.5
14,72.5,72.5,72.5,72.5
15,56.5,56.5,56.5,56.5
16,128.5,218.3631173,128.5,139.3816026
17,80.5,214.584606,80.5,111.9780726
18,29,312.8331019,29,130.5122315
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,38,38,44.46906236,40.29903064
7,94,94,172.4876175,112.2974421
8,137,137,161.7657366,139.9678874
9,139.5173296,139.5,162.9526554,139.5
10,179.0213586,136,402.6009143,136
11,200.3697391,113.5,284.287455,113.5
12,187.4866994,73.28397241,71,71
13,170.3255376,273.4728529,69.5,69.5
14,160.7266313,396.9153749,117,117
15,101.5,470.9730311,101.5,102.5590369
16,99,448.3839082,99,142.0119634
17,40,548.9984131,40,160.392743
18,24,376.882288,24,150.7874386
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,38,38,182.9752867,89.86332181
7,25.5,25.5,25.5,25.5
8,43,43,43,43
9,57.5,57.5,57.5,57.5
10,68.5,68.5,68.5,68.5
11,95.7100212,95,96.42226685,95
12,110.1064275,108.5234021,108.5,108.5
13,200.3996765,275.6266802,128.5,128.5
14,178.5068793,222.8441109,170.5,170.5
15,143,170.4711354,143,143.1427075
16,101,487.5706281,101,149.3161668
17,82.5,251.9980715,82.5,122.8690556
18,31.5,70.26824315,31.5,45.48795558
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,19.5,19.5,19.5,19.5
7,79,79,95.92680421,83.0244408
8,99,99,530.1188573,152.849123
9,141.5,141.5,430.0993385,143.0627077
10,209.6758438,191,313.4101773,191
11,207.3954437,127.5,290.4737352,127.5
12,220.3468216,130.8334024,130,130
13,203.4272262,288.7982318,123.5,123.5
14,166.1382193,379.497931,128.5,128.5
15,167,275.4096259,167,167.7973411
16,117.5,192.6429111,117.5,127.0225481
17,51,543.8583765,51,169.1286001
18,21,398.2501321,21,157.6411091
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,36,36,331.9770121,143.1831629
7,47.5,47.5,586.2168627,176.7417299
8,51,51,628.8770473,124.5360792
9,50,50,583.6040989,54.40674598
10,124.5940545,70.5,434.7636594,70.5
11,164.0819841,67.5,268.0024406,67.5
12,176.527979,61.91275599,61.5,61.5
13,158.7158929,268.3348469,58,58
14,118.4408857,442.5850934,62.5,62.5
15,44.5,583.1194122,44.5,49.53362227
16,47.5,635.1656388,47.5,122.9120554
17,34,588.7377731,34,167.7280191
18,21.5,394.8014793,21.5,157.1840949
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,43,43,273.3569732,126.8899169
7,90,90,185.2345836,113.0416267
8,139,139,256.3092832,154.188231
9,109,109,508.4546204,113.3715767
10,160.9001713,158.5,175.0912545,158.5
11,203.7834219,197,211.3225727,197
12,260.6175929,215,215.1061606,215
13,181.2790673,280.1128385,92,92
14,117.3618645,441.7869892,62.5,62.5
15,56.5,563.064205,56.5,62.15594243
16,53,602.5138556,53,124.3173895
17,45,537.8667469,45,164.4323126
18,25.5,358.9506482,25.5,147.0801505
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,51.5,51.5,202.5196646,106.7893007
7,79,79,95.90410984,83.12243978
8,131,131,341.650103,158.7136568
9,125,125,453.5012288,129.424611
10,150.0450424,104.5,427.3830179,104.5
11,172.555209,82,276.3273195,82
12,226.396656,153,153.6243108,153
13,209.2737895,292.7471243,135,135
14,190.3737695,301.0741788,172,172
15,81,544.5633719,81,86.93989164
16,57,601.1296804,57,128.3348332
17,48,504.0107568,48,159.0155683
18,28,317.9825901,28,134.0255905
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,19.5,19.5,19.5,19.5
7,29,29,29,29
8,60,60,60,60
9,106.5,106.5,110.4118719,106.561934
10,202.8357497,194,258.1748141,194
11,178.4453276,172.5,185.4575562,172.5
12,261.8571302,221,221.6099802,221
13,211.984152,293.390579,140.5,140.5
14,123.9488406,439.2093511,72.5,72.5
15,54.5,567.3898065,54.5,61.82880219
16,48.5,630.2513896,48.5,125.4499785
17,31.5,615.9400921,31.5,174.3652988
18,20.5,418.8896434,20.5,166.5163063
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,37.5,37.5,273.8961496,124.8825988
7,88.5,88.5,239.650674,125.8913034
8,83,83,83,83
9,165,165,315.6604747,167.7166863
10,102.9922921,101.5,112.5916212,101.5
11,182.4354981,106.5,274.4489631,106.5
12,248.226975,220.5,221.0982667,220.5
13,230.0230065,269.2089546,196,196
14,165.2421386,421.796772,124,124
15,56.5,545.9800521,56.5,64.1317407
16,45.5,626.6557165,45.5,122.9705001
17,55,500.5465754,55,164.3003847
18,35,182.1362221,35,89.04000385
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,41,41,152.2455319,82.29951928
7,86,86,153.5568927,102.8185778
8,89.5,89.5,89.5,89.5
9,171.5,171.5,266.7622472,173.4115446
10,171.461648,170,181.1034866,170
11,210.6013484,203.5,219.425644,203.5
12,146.7285315,144.5,144.5633463,144.5
13,222.915039,242.5804564,206,206
14,173.6298761,366.6925676,143,143
15,104.5,462.5295537,104.5,110.486141
16,93.5,472.3488893,93.5,144.3385922
17,54.5,479.334283,54.5,159.0336181
18,27,342.2783819,27,142.9955417
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,41,41,152.1971401,82.4470352
7,72,72,72,72
8,80,80,80,80
9,157,157,343.0457002,161.0806757
10,68.5,68.5,68.5,68.5
11,110,110,110,110
12,146.7110434,144.5,144.5783776,144.5
13,206.4386938,240.333823,177.5,177.5
14,67,67,67,67
15,57,57,57,57
16,41,41,41,41
17,25.5,25.5,25.5,25.5
18,15,15,15,15
19,0,0,0,0
20,0,0,0,0
