Time,Drybulb C
6/1/2016 0:00,15.3
6/1/2016 1:00,15.7
6/1/2016 2:00,16.1
6/1/2016 3:00,16.6
6/1/2016 4:00,17
6/1/2016 5:00,18
6/1/2016 6:00,18
6/1/2016 7:00,17
6/1/2016 8:00,18
6/1/2016 9:00,19
6/1/2016 10:00,19
6/1/2016 11:00,20
6/1/2016 12:00,22
6/1/2016 13:00,24
6/1/2016 14:00,26
6/1/2016 15:00,27
6/1/2016 16:00,26
6/1/2016 17:00,27
6/1/2016 18:00,24
6/1/2016 19:00,22
6/1/2016 20:00,19
6/1/2016 21:00,18
6/1/2016 22:00,14
6/1/2016 23:00,13
6/2/2016 0:00,13
6/2/2016 1:00,12
6/2/2016 2:00,11
6/2/2016 3:00,12
6/2/2016 4:00,13
6/2/2016 5:00,12
6/2/2016 6:00,13
6/2/2016 7:00,17
6/2/2016 8:00,19
6/2/2016 9:00,24
6/2/2016 10:00,27
6/2/2016 11:00,28
6/2/2016 12:00,29
6/2/2016 13:00,22
6/2/2016 14:00,23
6/2/2016 15:00,23
6/2/2016 16:00,22
6/2/2016 17:00,23
6/2/2016 18:00,23
6/2/2016 19:00,23
6/2/2016 20:00,22
6/2/2016 21:00,19
6/2/2016 22:00,17
6/2/2016 23:00,16
6/3/2016 0:00,14
6/3/2016 1:00,12
6/3/2016 2:00,12
6/3/2016 3:00,11
6/3/2016 4:00,12
6/3/2016 5:00,12
6/3/2016 6:00,11
6/3/2016 7:00,11
6/3/2016 8:00,12
6/3/2016 9:00,13
6/3/2016 10:00,14
6/3/2016 11:00,16
6/3/2016 12:00,16
6/3/2016 13:00,17
6/3/2016 14:00,18
6/3/2016 15:00,18
6/3/2016 16:00,18
6/3/2016 17:00,18
6/3/2016 18:00,17
6/3/2016 19:00,15
6/3/2016 20:00,12
6/3/2016 21:00,9
6/3/2016 22:00,7
6/3/2016 23:00,6
6/4/2016 0:00,5
6/4/2016 1:00,4
6/4/2016 2:00,4
6/4/2016 3:00,3
6/4/2016 4:00,3
6/4/2016 5:00,3
6/4/2016 6:00,5
6/4/2016 7:00,7
6/4/2016 8:00,10
6/4/2016 9:00,13
6/4/2016 10:00,17
6/4/2016 11:00,19
6/4/2016 12:00,19
6/4/2016 13:00,20
6/4/2016 14:00,21
6/4/2016 15:00,20
6/4/2016 16:00,19
6/4/2016 17:00,18
6/4/2016 18:00,17
6/4/2016 19:00,17
6/4/2016 20:00,16
6/4/2016 21:00,15
6/4/2016 22:00,14
6/4/2016 23:00,14
6/5/2016 0:00,13
6/5/2016 1:00,13
6/5/2016 2:00,12
6/5/2016 3:00,11
6/5/2016 4:00,11
6/5/2016 5:00,11
6/5/2016 6:00,11
6/5/2016 7:00,11
6/5/2016 8:00,11
6/5/2016 9:00,11
6/5/2016 10:00,12
6/5/2016 11:00,12
6/5/2016 12:00,11
6/5/2016 13:00,11
6/5/2016 14:00,12
6/5/2016 15:00,12
6/5/2016 16:00,12
6/5/2016 17:00,12
6/5/2016 18:00,12
6/5/2016 19:00,11
6/5/2016 20:00,12
6/5/2016 21:00,12
6/5/2016 22:00,12
6/5/2016 23:00,12
6/6/2016 0:00,12
6/6/2016 1:00,12
6/6/2016 2:00,12
6/6/2016 3:00,11
6/6/2016 4:00,11
6/6/2016 5:00,11
6/6/2016 6:00,11
6/6/2016 7:00,11
6/6/2016 8:00,11
6/6/2016 9:00,11
6/6/2016 10:00,11
6/6/2016 11:00,11
6/6/2016 12:00,11
6/6/2016 13:00,12
6/6/2016 14:00,12
6/6/2016 15:00,11
6/6/2016 16:00,11
6/6/2016 17:00,11
6/6/2016 18:00,11
6/6/2016 19:00,11
6/6/2016 20:00,11
6/6/2016 21:00,11
6/6/2016 22:00,11
6/6/2016 23:00,11
6/7/2016 0:00,11
6/7/2016 1:00,11
6/7/2016 2:00,11
6/7/2016 3:00,10
6/7/2016 4:00,7
6/7/2016 5:00,7
6/7/2016 6:00,9
6/7/2016 7:00,11
6/7/2016 8:00,13
6/7/2016 9:00,16
6/7/2016 10:00,19
6/7/2016 11:00,21
6/7/2016 12:00,21
6/7/2016 13:00,21
6/7/2016 14:00,22
6/7/2016 15:00,22
6/7/2016 16:00,22
6/7/2016 17:00,21
6/7/2016 18:00,21
6/7/2016 19:00,19
6/7/2016 20:00,17
6/7/2016 21:00,14
6/7/2016 22:00,13
6/7/2016 23:00,12
6/8/2016 0:00,12
6/8/2016 1:00,12
6/8/2016 2:00,13
6/8/2016 3:00,11
6/8/2016 4:00,11
6/8/2016 5:00,11
6/8/2016 6:00,12
6/8/2016 7:00,13
6/8/2016 8:00,16
6/8/2016 9:00,18
6/8/2016 10:00,19
6/8/2016 11:00,21
6/8/2016 12:00,21
6/8/2016 13:00,23
6/8/2016 14:00,23
6/8/2016 15:00,24
6/8/2016 16:00,24
6/8/2016 17:00,23
6/8/2016 18:00,23
6/8/2016 19:00,21
6/8/2016 20:00,18.6
6/8/2016 21:00,17
6/8/2016 22:00,17
6/8/2016 23:00,16
6/9/2016 0:00,14
6/9/2016 1:00,13
6/9/2016 2:00,13
6/9/2016 3:00,11
6/9/2016 4:00,13
6/9/2016 5:00,13
6/9/2016 6:00,15.3
6/9/2016 7:00,18
6/9/2016 8:00,22
6/9/2016 9:00,22
6/9/2016 10:00,23
6/9/2016 11:00,23
6/9/2016 12:00,22
6/9/2016 13:00,18
6/9/2016 14:00,19
6/9/2016 15:00,22
6/9/2016 16:00,24
6/9/2016 17:00,27
6/9/2016 18:00,26
6/9/2016 19:00,22
6/9/2016 20:00,19
