Time,Zone1_Tset,Zone1_Qall (kW),Zone2_Tset,Zone2_Qall,Zone3_Tset,Zone3_Qall,Zone4_Tset,Zone4_Qall,Zone5_Tset,Zone5_Qall
0:00,25,0,24,0.1,25,0,24,0.1,25,0
1:00,25,0,24,0,25,0,24,0,25,0
2:00,25,0,24,0,25,0,24,0,25,0
3:00,25,0,24,0,25,0,24,0,25,0
4:00,25,0,24,0,25,0,24,0,25,0
5:00,25,0,24,0,25,0,24,0,25,0
6:00,25,0.1,24,0,25,0.1,24,0,25,0.1
7:00,25,0.1,24,0,25,0.1,24,0,25,0.1
8:00,25,0.2,24,0.2,25,0.2,24,0.2,25,0.2
9:00,25,0.2,24,0.2,25,0.2,24,0.2,25,0.2
10:00,25,0,24,0,25,0,24,0,25,0
11:00,25,0,24,0,25,0,24,0,25,0
12:00,25,0,24,0,25,0,24,0,25,0
13:00,25,0,24,0,25,0,24,0,25,0
14:00,25,0,24,0,25,0,24,0,25,0
15:00,25,0,24,0,25,0,24,0,25,0
16:00,25,0,24,0,25,0,24,0,25,0
17:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
18:00,25,0.2,24,0.2,25,0.2,24,0.2,25,0.2
19:00,25,0.2,24,0.2,25,0.2,24,0.2,25,0.2
20:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
21:00,25,0,24,0,25,0,24,0,25,0
22:00,25,0,24,0.1,25,0,24,0.1,25,0
23:00,25,0,24,0.1,25,0,24,0.1,25,0
