Time,
6/1/2016 0:00,4.916988738
6/1/2016 1:00,3.757336816
6/1/2016 2:00,3.687469908
6/1/2016 3:00,3.606116452
6/1/2016 4:00,3.700337036
6/1/2016 5:00,3.587438362
6/1/2016 6:00,3.854742574
6/1/2016 7:00,3.860968604
6/1/2016 8:00,5.442717397
6/1/2016 9:00,7.318526912
6/1/2016 10:00,7.903801114
6/1/2016 11:00,9.064885815
6/1/2016 12:00,9.229905677
6/1/2016 13:00,9.52009846
6/1/2016 14:00,8.847452308
6/1/2016 15:00,9.380867161
6/1/2016 16:00,9.503563613
6/1/2016 17:00,9.275187278
6/1/2016 18:00,8.992631203
6/1/2016 19:00,8.169671763
6/1/2016 20:00,6.991339592
6/1/2016 21:00,5.908888279
6/1/2016 22:00,5.213443243
6/1/2016 23:00,4.481575518
6/2/2016 0:00,4.304185552
6/2/2016 1:00,3.818354099
6/2/2016 2:00,3.629744244
6/2/2016 3:00,3.702674547
6/2/2016 4:00,3.703061384
6/2/2016 5:00,3.694182789
6/2/2016 6:00,4.416647733
6/2/2016 7:00,5.66955469
6/2/2016 8:00,6.070298128
6/2/2016 9:00,8.18679161
6/2/2016 10:00,7.957511411
6/2/2016 11:00,9.088884787
6/2/2016 12:00,9.441824133
6/2/2016 13:00,9.416799171
6/2/2016 14:00,9.508889111
6/2/2016 15:00,8.643759194
6/2/2016 16:00,7.346763273
6/2/2016 17:00,7.455599765
6/2/2016 18:00,6.79873821
6/2/2016 19:00,5.156161279
6/2/2016 20:00,3.840976169
6/2/2016 21:00,3.833159004
6/2/2016 22:00,3.645132905
6/2/2016 23:00,3.6650562
6/3/2016 0:00,3.576231509
6/3/2016 1:00,3.62811509
6/3/2016 2:00,3.486991748
6/3/2016 3:00,3.424731451
6/3/2016 4:00,3.491142435
6/3/2016 5:00,3.707808271
6/3/2016 6:00,3.804934336
6/3/2016 7:00,3.975942621
6/3/2016 8:00,4.222078332
6/3/2016 9:00,5.097451401
6/3/2016 10:00,7.889633885
6/3/2016 11:00,9.013742251
6/3/2016 12:00,9.353563927
6/3/2016 13:00,9.643586217
6/3/2016 14:00,9.648818429
6/3/2016 15:00,9.110662227
6/3/2016 16:00,8.825957475
6/3/2016 17:00,9.470758931
6/3/2016 18:00,9.214106615
6/3/2016 19:00,7.390299429
6/3/2016 20:00,6.275161462
6/3/2016 21:00,4.117829688
6/3/2016 22:00,5.507187327
6/3/2016 23:00,4.942523783
6/4/2016 0:00,4.945128338
6/4/2016 1:00,4.448467151
6/4/2016 2:00,3.50816025
6/4/2016 3:00,3.631020571
6/4/2016 4:00,3.557553419
6/4/2016 5:00,3.579552058
6/4/2016 6:00,3.425976657
6/4/2016 7:00,3.364546496
6/4/2016 8:00,3.393601302
6/4/2016 9:00,3.509820524
6/4/2016 10:00,3.648038386
6/4/2016 11:00,4.051344449
6/4/2016 12:00,5.528979497
6/4/2016 13:00,7.589351707
6/4/2016 14:00,8.252652773
6/4/2016 15:00,8.07359351
6/4/2016 16:00,9.075854225
6/4/2016 17:00,8.513158698
6/4/2016 18:00,7.622691237
6/4/2016 19:00,6.886914545
6/4/2016 20:00,5.742738374
6/4/2016 21:00,5.013130698
6/4/2016 22:00,4.804955503
6/4/2016 23:00,4.492024871
6/5/2016 0:00,4.026002984
6/5/2016 1:00,3.656458827
6/5/2016 2:00,3.631850708
6/5/2016 3:00,3.627284953
6/5/2016 4:00,3.616348037
6/5/2016 5:00,3.678203188
6/5/2016 6:00,3.667309123
6/5/2016 7:00,3.771544016
6/5/2016 8:00,5.018830335
6/5/2016 9:00,3.948149364
6/5/2016 10:00,3.918425859
6/5/2016 11:00,3.803761582
6/5/2016 12:00,4.014627283
6/5/2016 13:00,5.142043223
6/5/2016 14:00,5.613629084
6/5/2016 15:00,6.149123109
6/5/2016 16:00,6.24698537
6/5/2016 17:00,6.695188841
6/5/2016 18:00,6.801814505
6/5/2016 19:00,5.274553385
6/5/2016 20:00,3.866364497
6/5/2016 21:00,3.889193273
6/5/2016 22:00,3.936926168
6/5/2016 23:00,3.711958958
6/6/2016 0:00,3.673357573
6/6/2016 1:00,3.596569873
6/6/2016 2:00,3.597815079
6/6/2016 3:00,3.576231509
6/6/2016 4:00,3.641397287
6/6/2016 5:00,3.667546612
6/6/2016 6:00,3.945642609
6/6/2016 7:00,3.975112484
6/6/2016 8:00,4.176248829
6/6/2016 9:00,5.44595834
6/6/2016 10:00,5.380979719
6/6/2016 11:00,5.574126098
6/6/2016 12:00,5.830381473
6/6/2016 13:00,6.952574376
6/6/2016 14:00,7.393879096
6/6/2016 15:00,7.596820111
6/6/2016 16:00,8.775708595
6/6/2016 17:00,8.49476596
6/6/2016 18:00,7.58309885
6/6/2016 19:00,5.972304543
6/6/2016 20:00,3.969716591
6/6/2016 21:00,3.946057678
6/6/2016 22:00,3.898324783
6/6/2016 23:00,3.7206754
6/7/2016 0:00,3.739353489
6/7/2016 1:00,3.626869884
6/7/2016 2:00,3.551742458
6/7/2016 3:00,3.58204247
6/7/2016 4:00,3.645132905
6/7/2016 5:00,3.68373429
6/7/2016 6:00,3.880476831
6/7/2016 7:00,4.00997825
6/7/2016 8:00,4.103368697
