Time,Zone1_Tset,Zone1_Qall (kW),Zone2_Tset,Zone2_Qall,Zone3_Tset,Zone3_Qall,Zone4_Tset,Zone4_Qall,Zone5_Tset,Zone5_Qall
0:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
1:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
2:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
3:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
4:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
5:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
6:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
7:00,25,0.1,24,0.3,25,0.3,24,0.1,25,0.3
8:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
9:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
10:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
11:00,25,0.25,24,0.1,25,0.1,24,0.25,25,0.1
12:00,25,0.25,24,0.1,25,0.1,24,0.25,25,0.1
13:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
14:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
15:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
16:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
17:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
18:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
19:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
20:00,25,0.25,24,0.4,25,0.4,24,0.25,25,0.4
21:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
22:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
23:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
0:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
1:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
2:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
3:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
4:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
5:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
6:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
7:00,25,0.1,24,0.3,25,0.3,24,0.1,25,0.3
8:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
9:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
10:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
11:00,25,0.25,24,0.1,25,0.1,24,0.25,25,0.1
12:00,25,0.25,24,0.1,25,0.1,24,0.25,25,0.1
13:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
14:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
15:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
16:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
17:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
18:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
19:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
20:00,25,0.25,24,0.4,25,0.4,24,0.25,25,0.4
21:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
22:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
23:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
0:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
1:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
2:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
3:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
4:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
5:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
6:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
7:00,25,0.1,24,0.3,25,0.3,24,0.1,25,0.3
8:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
9:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
10:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
11:00,25,0.25,24,0.1,25,0.1,24,0.25,25,0.1
12:00,25,0.25,24,0.1,25,0.1,24,0.25,25,0.1
13:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
14:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
15:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
16:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
17:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
18:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
19:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
20:00,25,0.25,24,0.4,25,0.4,24,0.25,25,0.4
21:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
22:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
23:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
0:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
1:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
2:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
3:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
4:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
5:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
6:00,25,0.1,24,0.1,25,0.1,24,0.1,25,0.1
7:00,25,0.1,24,0.3,25,0.3,24,0.1,25,0.3
8:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
9:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
10:00,25,0.25,24,0.3,25,0.3,24,0.25,25,0.3
11:00,25,0.25,24,0.1,25,0.1,24,0.25,25,0.1
12:00,25,0.25,24,0.1,25,0.1,24,0.25,25,0.1
13:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
14:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
15:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
16:00,25,0.4,24,0.1,25,0.1,24,0.4,25,0.1
17:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
18:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
19:00,25,0.4,24,0.4,25,0.4,24,0.4,25,0.4
20:00,25,0.25,24,0.4,25,0.4,24,0.25,25,0.4
21:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
22:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
23:00,25,0.25,24,0.25,25,0.25,24,0.25,25,0.25
