Time,South(Wh/m2),West(Wh/m2),East(Wh/m2),North(Wh/m2)
1/1/2020 0:00,0,0,0,0
1/1/2020 1:00,0,0,0,0
1/1/2020 2:00,0,0,0,0
1/1/2020 3:00,0,0,0,0
1/1/2020 4:00,0,0,0,0
1/1/2020 5:00,0,0,0,0
1/1/2020 6:00,0,0,0,0
1/1/2020 7:00,3,3,3,3
1/1/2020 8:00,346.9889689,16.5,491.4538588,16.5
1/1/2020 9:00,542.2076571,24.5,546.3680847,24.5
1/1/2020 10:00,670.8207157,30.5,445.8411032,30.5
1/1/2020 11:00,747.7217137,34.5,267.9105208,34.5
1/1/2020 12:00,776.2241692,36,53.23915008,36
1/1/2020 13:00,756.5272097,236.6873145,35,35
1/1/2020 14:00,687.3229989,423.1427492,31.5,31.5
1/1/2020 15:00,567.5771869,540.0967558,25.5,25.5
1/1/2020 16:00,385.0024847,519.0883603,18,18
1/1/2020 17:00,91.20878637,168.6199582,5,5
1/1/2020 18:00,0,0,0,0
1/1/2020 19:00,0,0,0,0
1/1/2020 20:00,0,0,0,0
1/1/2020 21:00,0,0,0,0
1/1/2020 22:00,0,0,0,0
1/1/2020 23:00,0,0,0,0
1/2/2020 0:00,0,0,0,0
1/2/2020 1:00,0,0,0,0
1/2/2020 2:00,0,0,0,0
1/2/2020 3:00,0,0,0,0
1/2/2020 4:00,0,0,0,0
1/2/2020 5:00,0,0,0,0
1/2/2020 6:00,0,0,0,0
1/2/2020 7:00,4.5,4.5,4.5,4.5
1/2/2020 8:00,153.1071357,34,206.0624138,34
1/2/2020 9:00,294.0731237,51,297.3044257,51
1/2/2020 10:00,304.6842436,131,244.3392444,131
1/2/2020 11:00,220.2177873,110,146.4034728,110
1/2/2020 12:00,644.7034038,83,97.41920213,83
1/2/2020 13:00,544.3743764,211.8300733,84,84
1/2/2020 14:00,630.5502828,395.6896015,49.5,49.5
1/2/2020 15:00,551.4543168,524.6139376,30.5,30.5
1/2/2020 16:00,362.3580705,486.8749653,21.5,21.5
1/2/2020 17:00,77.25411838,141.329605,6,6
1/2/2020 18:00,0,0,0,0
1/2/2020 19:00,0,0,0,0
1/2/2020 20:00,0,0,0,0
1/2/2020 21:00,0,0,0,0
1/2/2020 22:00,0,0,0,0
1/2/2020 23:00,0,0,0,0
1/3/2020 0:00,0,0,0,0
1/3/2020 1:00,0,0,0,0
1/3/2020 2:00,0,0,0,0
1/3/2020 3:00,0,0,0,0
1/3/2020 4:00,0,0,0,0
1/3/2020 5:00,0,0,0,0
1/3/2020 6:00,0,0,0,0
1/3/2020 7:00,3,3,3,3
1/3/2020 8:00,313.0242369,20.5,445.3646193,20.5
1/3/2020 9:00,520.5632944,30.5,529.7445179,30.5
1/3/2020 10:00,655.945012,38,443.7235525,38
1/3/2020 11:00,736.7682673,43,274.2646246,43
1/3/2020 12:00,766.8891376,44.5,64.75237437,44.5
1/3/2020 13:00,746.3176021,237.3859063,43.5,43.5
1/3/2020 14:00,675.0006034,417.3353281,39.5,39.5
1/3/2020 15:00,549.2250856,522.2556282,32,32
1/3/2020 16:00,358.5088401,481.3489097,22.5,22.5
1/3/2020 17:00,75.36776985,137.4254634,6.5,6.5
1/3/2020 18:00,0,0,0,0
1/3/2020 19:00,0,0,0,0
1/3/2020 20:00,0,0,0,0
1/3/2020 21:00,0,0,0,0
1/3/2020 22:00,0,0,0,0
1/3/2020 23:00,0,0,0,0
1/4/2020 0:00,0,0,0,0
1/4/2020 1:00,0,0,0,0
1/4/2020 2:00,0,0,0,0
1/4/2020 3:00,0,0,0,0
1/4/2020 4:00,0,0,0,0
1/4/2020 5:00,0,0,0,0
1/4/2020 6:00,0,0,0,0
1/4/2020 7:00,3,3,3,3
1/4/2020 8:00,321.5320069,19,460.8616339,19
1/4/2020 9:00,524.3495858,28.5,536.4282721,28.5
1/4/2020 10:00,657.6755864,36,446.7248158,36
1/4/2020 11:00,737.719358,40.5,275.0707488,40.5
1/4/2020 12:00,766.5618921,42,64.01357893,42
1/4/2020 13:00,746.1521594,234.3116987,41,41
1/4/2020 14:00,675.5965918,415.9576607,37,37
1/4/2020 15:00,553.3096771,525.8329182,30.5,30.5
1/4/2020 16:00,367.0779734,493.8121866,21,21
1/4/2020 17:00,85.05486259,156.0320057,6.5,6.5
1/4/2020 18:00,0,0,0,0
1/4/2020 19:00,0,0,0,0
1/4/2020 20:00,0,0,0,0
1/4/2020 21:00,0,0,0,0
1/4/2020 22:00,0,0,0,0
1/4/2020 23:00,0,0,0,0
1/5/2020 0:00,0,0,0,0
1/5/2020 1:00,0,0,0,0
1/5/2020 2:00,0,0,0,0
1/5/2020 3:00,0,0,0,0
1/5/2020 3:59,0,0,0,0
1/5/2020 4:59,0,0,0,0
1/5/2020 5:59,0,0,0,0
1/5/2020 6:59,3,3,3,3
1/5/2020 7:59,262.3154955,24,374.0889063,24
1/5/2020 8:59,469.6414177,36.5,482.7082735,36.5
1/5/2020 9:59,607.2543779,46,419.1626515,46
1/5/2020 10:59,636.5594699,56.5,253.4655542,56.5
1/5/2020 11:59,687.9607102,62.5,82.95814703,62.5
1/5/2020 12:59,688.8280543,229.5268942,57.5,57.5
1/5/2020 13:59,631.0758909,393.4296549,48,48
1/5/2020 14:59,505.7041863,481.0810013,39,39
1/5/2020 15:59,315.7628146,421.7830404,27,27
1/5/2020 16:59,55.3135726,98.6577437,7.5,7.5
1/5/2020 17:59,0,0,0,0
1/5/2020 18:59,0,0,0,0
1/5/2020 19:59,0,0,0,0
1/5/2020 20:59,0,0,0,0
1/5/2020 21:59,0,0,0,0
1/5/2020 22:59,0,0,0,0
1/5/2020 23:59,0,0,0,0
1/6/2020 0:59,0,0,0,0
1/6/2020 1:59,0,0,0,0
1/6/2020 2:59,0,0,0,0
1/6/2020 3:59,0,0,0,0
1/6/2020 4:59,0,0,0,0
1/6/2020 5:59,0,0,0,0
1/6/2020 6:59,2.5,2.5,2.5,2.5
1/6/2020 7:59,228.9999566,28,325.0414521,28
1/6/2020 8:59,425.7406077,42,439.6161736,42
1/6/2020 9:59,456.2610508,60.5,325.3290817,60.5
1/6/2020 10:59,354.9518327,88,179.4882897,88
1/6/2020 11:59,654.3986017,92,111.6922712,92
1/6/2020 12:59,520.9053472,225.6880573,116,116
1/6/2020 13:59,478.1112282,307.9510006,61.5,61.5
1/6/2020 14:59,343.0379243,328.7137683,71.5,71.5
1/6/2020 15:59,178.6582924,228.825078,42.5,42.5
1/6/2020 16:59,20.37925631,27.55004392,12.5,12.5
1/6/2020 17:59,0,0,0,0
1/6/2020 18:59,0,0,0,0
1/6/2020 19:59,0,0,0,0
1/6/2020 20:59,0,0,0,0
1/6/2020 21:59,0,0,0,0
1/6/2020 22:59,0,0,0,0
1/6/2020 23:59,0,0,0,0
1/7/2020 0:59,0,0,0,0
1/7/2020 1:59,0,0,0,0
1/7/2020 2:59,0,0,0,0
1/7/2020 3:59,0,0,0,0
1/7/2020 4:59,0,0,0,0
1/7/2020 5:59,0,0,0,0
1/7/2020 6:59,5.5,5.5,5.5,5.5
1/7/2020 7:59,78.38460729,40,97.0763561,40
1/7/2020 8:59,413.6952618,43.5,429.3665831,43.5
1/7/2020 9:59,351.8877411,81,263.4557042,81
1/7/2020 10:59,556.6619668,83.5,247.1653181,83.5
1/7/2020 11:59,559.8108721,104,121.00085,104
1/7/2020 12:59,618.1056888,214.7289745,66,66
1/7/2020 13:59,587.3132567,369.3009413,54.5,54.5
1/7/2020 14:59,447.7314235,427.521255,63,63
1/7/2020 15:59,236.6107858,307.5217436,45,45
1/7/2020 16:59,60.31679643,107.6888218,8.5,8.5
1/7/2020 17:59,0,0,0,0
1/7/2020 18:59,0,0,0,0
1/7/2020 19:59,0,0,0,0
1/7/2020 20:59,0,0,0,0
1/7/2020 21:59,0,0,0,0
1/7/2020 22:59,0,0,0,0
1/7/2020 23:59,0,0,0,0
1/8/2020 0:59,0,0,0,0
1/8/2020 1:59,0,0,0,0
1/8/2020 2:59,0,0,0,0
1/8/2020 3:59,0,0,0,0
1/8/2020 4:59,0,0,0,0
1/8/2020 5:59,0,0,0,0
1/8/2020 6:59,3,3,3,3
1/8/2020 7:59,302.2496387,20,442.3696288,20
1/8/2020 8:59,509.0922108,30.5,532.3944423,30.5
1/8/2020 9:59,645.2757565,38.5,449.9068025,38.5
1/8/2020 10:59,728.120301,43.5,282.5056692,43.5
1/8/2020 11:59,748.8128046,50.5,78.12327582,50.5
1/8/2020 12:59,718.6806143,227.7065688,48,48
1/8/2020 13:59,472.9938727,310.3171721,76,76
1/8/2020 14:59,421.6625986,402.4837142,53.5,53.5
1/8/2020 15:59,91.24777426,108.0825294,46,46
1/8/2020 16:59,24.31276269,37.46536269,10,10
1/8/2020 17:59,0,0,0,0
1/8/2020 18:59,0,0,0,0
1/8/2020 19:59,0,0,0,0
1/8/2020 20:59,0,0,0,0
1/8/2020 21:59,0,0,0,0
1/8/2020 22:59,0,0,0,0
1/8/2020 23:59,0,0,0,0
1/9/2020 0:59,0,0,0,0
1/9/2020 1:59,0,0,0,0
1/9/2020 2:59,0,0,0,0
1/9/2020 3:59,0,0,0,0
1/9/2020 4:59,0,0,0,0
1/9/2020 5:59,0,0,0,0
1/9/2020 6:59,1,1,1,1
1/9/2020 7:59,66.01972319,34.5,81.97697575,34.5
1/9/2020 8:59,264.2465264,60.5,275.4990875,60.5
1/9/2020 9:59,500.315252,71,364.0440127,71
1/9/2020 10:59,638.8451018,64.5,266.8663943,64.5
1/9/2020 11:59,255.9655369,93,99.81044645,93
1/9/2020 12:59,377.1230633,219.3484476,162,162
1/9/2020 13:59,155.0753142,145.4038996,131.5,131.5
1/9/2020 14:59,251.602404,241.4637442,54.5,54.5
1/9/2020 15:59,42.9364988,48.71569125,27.5,27.5
1/9/2020 16:59,5.5,5.5,5.5,5.5
1/9/2020 17:59,0,0,0,0
1/9/2020 18:59,0,0,0,0
1/9/2020 19:59,0,0,0,0
1/9/2020 20:59,0,0,0,0
1/9/2020 21:59,0,0,0,0
1/9/2020 22:59,0,0,0,0
1/9/2020 23:59,0,0,0,0
1/10/2020 0:59,0,0,0,0
1/10/2020 1:59,0,0,0,0
1/10/2020 2:59,0,0,0,0
1/10/2020 3:59,0,0,0,0
1/10/2020 4:59,0,0,0,0
1/10/2020 5:59,0,0,0,0
1/10/2020 6:59,3.5,3.5,3.5,3.5
1/10/2020 7:59,101.0679926,34,135.703912,34
1/10/2020 8:59,35,35,35,35
1/10/2020 9:59,201.6235602,114,174.2181398,114
1/10/2020 10:59,180.9741515,51,97.21927329,51
1/10/2020 11:59,95,95,95,95
1/10/2020 12:59,193.3525322,145.3380239,128,128
1/10/2020 13:59,204.4238221,182.0795328,150,150
1/10/2020 14:59,303.7840803,294.3396454,117,117
1/10/2020 15:59,28,28,28,28
1/10/2020 16:59,10.21627807,13.20793941,7,7
